"","Date","Close.Last","Volume","Open","High","Low","diff","norm"
"546","11/23/2019",150.36,"N/A",150.18,153.24,150.36,2.88,0.00470028079599561
"547","11/22/2019",150.1,"N/A",162.39,150.38,146.6,3.78,0.0065315590282017
"548","11/21/2019",161.76,"N/A",175.41,163.06,161.42,1.64000000000001,0.00217718634273394
"549","11/20/2019",175.39,"N/A",176.36,175.91,174.3,1.60999999999999,0.00211614373499368
"550","11/19/2019",174.72,"N/A",178.46,178.7,173.48,5.22,0.00946160419973143
"551","11/18/2019",178.1,"N/A",183.33,178.7,177.34,1.35999999999999,0.00160745533715865
"552","11/17/2019",183.29,"N/A",182.25,184.3,182.79,1.51000000000002,0.00191266837585974
"553","11/16/2019",182.45,"N/A",180.96,183.2,182.34,0.859999999999985,0.00059007854148861
"554","11/15/2019",180.66,"N/A",183.87,181.05,179.53,1.52000000000001,0.00193301591177312
"555","11/14/2019",182.53,"N/A",187.65,185.49,181.75,3.74000000000001,0.00645016888454812
"556","11/13/2019",187.56,"N/A",186.07,188.91,187.28,1.63,0.0021568388068205
"557","11/12/2019",185.97,"N/A",185.8,187.14,185.7,1.44,0.00177023562446589
"558","11/11/2019",185.87,"N/A",189.78,186.48,184.6,1.88,0.00266552720465552
"559","11/10/2019",189.31,"N/A",184.09,190.17,188.98,1.19,0.00126154722663086
"560","11/09/2019",183.98,"N/A",184.9,185.1,183.55,1.54999999999998,0.00199405851951327
"561","11/08/2019",184.72,"N/A",187.96,185.07,183.59,1.47999999999999,0.00185162576811947
"562","11/07/2019",188.28,"N/A",190.24,188.3,186.6,1.70000000000002,0.00229927155821435
"563","11/06/2019",189.28,"N/A",189.68,192.27,189.24,3.03,0.00500549383469664
"564","11/05/2019",190.23,"N/A",186.41,190.71,188.13,2.58000000000001,0.00408985471859362
"565","11/04/2019",186.14,"N/A",181.53,187.02,185.02,2,0.00290969763561634
"566","11/03/2019",181.54,"N/A",183.89,182,180.98,1.02000000000001,0.000915639116103075
"567","11/02/2019",183.25,"N/A",183.16,183.57,183,0.569999999999993,0
"568","11/01/2019",182.77,"N/A",181.75,183.51,182.5,1.00999999999999,0.000895291580189635
"569","10/31/2019",182.21,"N/A",184,182.71,181.4,1.31,0.00150571765759168
"570","10/30/2019",182.42,"N/A",190.94,185.21,181.65,3.56,0.00608391323810689
"571","10/29/2019",190.94,"N/A",184.52,191.58,188.56,3.02000000000001,0.00498514629878325
"572","10/28/2019",184.17,"N/A",186.77,184.18,181.67,2.51000000000002,0.00394742196719983
"573","10/27/2019",186.1,"N/A",178.96,188.91,183.65,5.25999999999999,0.00954299434338502
"574","10/26/2019",178.26,"N/A",184.25,181.58,178.06,3.52000000000001,0.0060025230944533
"575","10/25/2019",191.42,"N/A",161.03,192.54,181.5,11.04,0.0213038701013307
"576","10/24/2019",161.04,"N/A",161.15,161.28,160.69,0.590000000000003,4.06950718268226e-05
"577","10/23/2019",161.07,"N/A",171.18,162.61,160.38,2.23000000000002,0.0033776909616246
"578","10/22/2019",171.03,"N/A",173.57,171.61,170.99,0.620000000000005,0.000101737679567028
"579","10/21/2019",173.98,"N/A",174.32,174.51,173.49,1.01999999999998,0.000915639116103017
"580","10/20/2019",174.41,"N/A",170.13,175.14,173.97,1.16999999999999,0.00122085215480404
"581","10/19/2019",170.4,"N/A",172.01,171.93,169.57,2.36000000000001,0.0036422089284988
"582","10/18/2019",171.65,"N/A",177.13,173.08,171.56,1.52000000000001,0.00193301591177312
"583","10/17/2019",177.11,"N/A",173.81,177.47,176.49,0.97999999999999,0.00083424897244943
"584","10/16/2019",174.1,"N/A",180.28,174.68,173.52,1.16,0.00120050461889066
"585","10/15/2019",179.72,"N/A",186.09,181.08,179.53,1.55000000000001,0.00199405851951333
"586","10/14/2019",186.16,"N/A",182.26,187.67,185.87,1.79999999999998,0.00250274691734829
"587","10/13/2019",182.42,"N/A",182.04,182.85,180.65,2.19999999999999,0.00331664835388434
